county,pct_agricultural_1910,year,sentences,population_black,population_white,plantation_belt
madison,54.7,1917,7,8769.8,7867.1,1
manatee,7.3,1917,8,4771.5,11191.9,0
marion,20.7,1917,15,13935,10924.9,0
monroe,0.7,1917,0,4798.3,15355.6,0
nassau,30.2,1917,4,5187.2,5908.3,0
orange,15.3,1917,12,6109,13546.1,0
osceola,8.2,1917,1,1064.2,5624.4,0
palm beach,0,1917,17,4607.299999999999,10123.599999999999,0
pasco,9.9,1917,4,2205.4,6206.6,0
polk,15.1,1917,10,8782.7,25524.4,0
putnam,16,1917,12,6764.6,7361.8,0
santa rosa,10,1917,20,3264.5,10773.6,0
st. johns,8,1917,8,4945.9,8159.2,0
st. lucie,2,1917,5,1602.8,5139.9,0
sumter,20.5,1917,5,2229.1,5275.4,0
suwannee,61.7,1917,7,7906.8,11526.4,1
taylor,9.6,1917,2,3990.3,5993.9,0
volusia,9.1,1917,12,7731.4,13583.4,0
wakulla,16.5,1917,0,2367.9,2663,0
walton,12.8,1917,7,3200.8,10220.5,0
washington,15.4,1917,17,3559.4,9641.1,0
alachua,34,1918,5,15478.6,16733.6,1
baker,10.5,1918,0,1369.4,4089.2,0
bradford,30.1,1918,1,3591.4,9229,0
brevard,3.9,1918,0,2280.4,5467,0
calhoun,10.8,1918,2,2354.4,6158.6,0
citrus,5.8,1918,0,2747,2775.2,0
clay,8.1,1918,1,2148.4,3571.6,0
columbia,42.8,1918,4,7281.6,7688.2,1
dade,2.4,1918,24,11055.8,25533.2,0
de soto,6.5,1918,5,3956.4,19230.8,0
duval,22,1918,73,45942.6,59922,0
escambia,16.8,1918,7,15224.2,31890.4,0
franklin,3.5,1918,1,2488.4,2806.2,0
gadsden,62.9,1918,4,14843.2,8427.6,1
hamilton,48.7,1918,6,4517,5746.4,1
hernando,8,1918,0,2016.1999999999998,2621.6,0
hillsborough,13.4,1918,29,16603,69677.4,0
holmes,44.7,1918,0,1066,11525.4,1
jackson,60.8,1918,3,13508.6,17434.8,1
jefferson,44.1,1918,1,11039.6,4004,1
lafayette,12.8,1918,3,1162.6,5173,0
lake,16.7,1918,3,3779,8318,0
lee,2.1,1918,0,1397.8,7493,0
leon,43.1,1918,2,12679.6,5653,1
levy,18.5,1918,3,4113.4,5895.6,0
liberty,12,1918,3,2215.8,2729,0
madison,54.7,1918,1,8678.2,7918.4,1
manatee,7.3,1918,8,5118,11761.6,0
marion,20.7,1918,5,13586,10976.6,0
monroe,0.7,1918,5,4646.2,15306.4,0
nassau,30.2,1918,1,5134.8,6042.2,0
orange,15.3,1918,6,5895,13838.4,0
osceola,8.2,1918,2,1083.8,5773.6,0
palm beach,0,1918,10,4942.200000000001,11096.400000000001,0
pasco,9.9,1918,9,2169.6,6372.4,0
polk,15.1,1918,6,8974.8,26783.6,0
putnam,16,1918,3,6758.4,7515.2,0
santa rosa,10,1918,9,3126,10789.4,0
st. johns,8,1918,5,4872.6,8217.8,0
st. lucie,2,1918,1,1708.2,5415.6,0
sumter,20.5,1918,1,2225.4,5394.6,0
suwannee,61.7,1918,9,7920.2,11631.6,1
taylor,9.6,1918,9,4176.2,6219.6,0
volusia,9.1,1918,4,7892.6,14108.6,0
wakulla,16.5,1918,1,2365.6,2698,0
walton,12.8,1918,3,2944.2,10043,0
washington,15.4,1918,2,3358.6,9384.4,0
alachua,34,1919,4,15026.8,16923.8,1
baker,10.5,1919,1,1395.7,4144.6,0
bradford,30.1,1919,11,3541.7,9120,0
brevard,3.9,1919,9,2389.7,5736.5,0
calhoun,10.8,1919,3,2381.2,6262.8,0
citrus,5.8,1919,2,2636,2735.1,0
clay,8.1,1919,5,2110.2,3560.3,0
columbia,42.8,1919,13,7140.3,7489.6,1
dade,2.4,1919,33,11912.900000000001,27758.100000000002,0
de soto,6.5,1919,15,4155.7,20154.9,0
duval,22,1919,93,47014.8,62687.5,0
escambia,16.8,1919,11,15236.6,33013.7,0
franklin,3.5,1919,1,2488.2,2818.1,0
gadsden,62.9,1919,8,14827.6,8577.3,1
hamilton,48.7,1919,11,4390,5678.2,1
hernando,8,1919,3,1920.6,2672.3,0
hillsborough,13.4,1919,14,16615.5,70653.2,0
holmes,44.7,1919,0,1050,11670.7,1
jackson,60.8,1919,17,13415.3,17668.4,1
jefferson,44.1,1919,5,10780.3,3992.5,1
lafayette,12.8,1919,2,1137.8,5151,0
lake,16.7,1919,5,3798,8622.5,0
lee,2.1,1919,3,1455.4,7760,0
leon,43.1,1919,4,12423.3,5772.5,1
levy,18.5,1919,6,4036.7,5928.3,0
liberty,12,1919,4,2228.9,2746.5,0
madison,54.7,1919,9,8586.6,7969.7,1
manatee,7.3,1919,5,5464.5,12331.3,0
marion,20.7,1919,8,13237,11028.3,0
monroe,0.7,1919,5,4494.1,15257.2,0
nassau,30.2,1919,1,5082.4,6176.1,0
orange,15.3,1919,3,5681,14130.7,0
osceola,8.2,1919,1,1103.4,5922.8,0
palm beach,0,1919,11,5277.1,12069.2,0
pasco,9.9,1919,6,2133.8,6538.2,0
polk,15.1,1919,8,9166.9,28042.800000000003,0
putnam,16,1919,13,6752.2,7668.6,0
santa rosa,10,1919,4,2987.5,10805.2,0
st. johns,8,1919,10,4799.3,8276.4,0
st. lucie,2,1919,4,1813.6,5691.3,0
sumter,20.5,1919,3,2221.7,5513.8,0
suwannee,61.7,1919,15,7933.6,11736.8,1
taylor,9.6,1919,6,4362.1,6445.3,0
volusia,9.1,1919,4,8053.8,14633.8,0
wakulla,16.5,1919,3,2363.3,2733,0
walton,12.8,1919,9,2687.6,9865.5,0
washington,15.4,1919,6,3157.8,9127.7,0
